,약품코드,품목명,적용시작일자,투여경로명,규격명,단위,개당산출단가,급여구분명
0,623000130,기화구미강활탕(혼합단미엑스산),20140701,내복,31.71,g,0,삭제
1,623000140,기화삼소음(혼합단미엑스산),20140701,내복,25.14,g,,삭제
2,623000150,기화소청룡탕(혼합단미엑스산),20140701,내복,15.15,g,0,삭제
3,623000160,기화가미소요산(혼합단미엑스산),20140701,내복,23.01,g,0,삭제
4,623000170,기화보중익기탕(혼합단미엑스산),20140701,내복,13.47,g,,삭제
5,623000180,기화향사평위산(혼합단미엑스산),20140701,내복,18.90,g,0,삭제
6,623000190,기화오적산(단미엑스산혼합제),20140701,내복,28.38,g,0,삭제
7,623000200,기화청상견통탕(혼합단미엑스산),20140701,내복,29.91,g,0,삭제
8,623000210,기화내소산(혼합단미엑스산),20140701,내복,21.87,g,0,삭제
9,623000220,기화소시호탕(혼합단미엑스산),20140701,내복,22.02,g,,삭제
10,623000230,기화반하사심탕(혼합단미엑스산),20140701,내복,23.70,g,,삭제
11,623000240,기화불환금정기산(혼합단미엑스산),20140701,내복,23.04,g,,삭제
12,623000250,기화이진탕(혼합단미엑스산),20140701,내복,8.52,g,0,삭제
13,623000260,기화연교패독산(혼합단미엑스산),20140701,내복,28.26,g,0,삭제
14,623000270,기화인삼패독산(혼합단미엑스산),20140701,내복,22.50,g,0,삭제
15,623000280,기화형개연교탕(혼합단미엑스산),20140701,내복,22.20,g,0,삭제
16,623000290,기화팔물탕(혼합단미엑스산),20140701,내복,47.85,g,0,삭제
17,623001620,기화갈근탕(혼합단미엑스산),20140701,내복,58.68,g,0,삭제
18,623001630,기화반하백출천마탕(혼합단미엑스산),20140701,내복,24.06,g,,삭제
19,623001640,기화궁소산(혼합단미엑스산),20140701,내복,19.83,g,0,삭제
20,623001650,기화삼호작약탕(혼합단미엑스산),20140701,내복,19.38,g,,삭제
21,623001660,기화당귀연교음(혼합단미엑스산),20140701,내복,20.73,g,0,삭제
22,623001670,기화삼황사심탕(혼합단미엑스산),20140701,내복,11.91,g,0,삭제
23,623001680,기화궁하탕(혼합단미엑스산),20140701,내복,10.68,g,0,삭제
24,623001690,기화대시호탕(혼합단미엑스산),20140701,내복,36.60,g,0,삭제
25,623001700,기화갈근해기탕(혼합단미엑스산),20140701,내복,29.91,g,0,삭제
26,623001710,기화생맥산(혼합단미엑스산),20140701,내복,9.06,g,,삭제
27,623001720,기화삼출건비탕(혼합단미엑스산),20140701,내복,32.25,g,,삭제
28,623001730,기화당귀육황탕(혼합단미엑스산),20140701,내복,16.89,g,0,삭제
